TITLE = "150.csv"
X(mm),Y(mm),Velocity |V|(mm/s),Velocity U(mm/s),Velocity V(mm/s),Correlation Value,Flag,Rotation Tensor(rad),Peak Ratio,
I=57, J=31, K=1,
128.379,127.341,14.1867,14.1823,-0.35553,0.91025,1,0.000948968,4.78744,
132.663,127.341,13.5306,13.5289,-0.215149,0.947177,1,0.0010229,4.45736,
136.947,127.341,13.2885,13.2867,-0.213623,0.923427,1,0.000487988,4.90887,
141.23,127.341,13.3127,13.3064,-0.411987,0.896447,1,3.91813e-05,4.39653,
145.514,127.341,13.3312,13.3276,-0.308228,0.883629,1,-0.000110352,3.5878,
149.798,127.341,13.6103,13.6102,0.0442505,0.874891,1,6.76415e-05,3.64038,
154.081,127.341,13.8558,13.8556,0.0671387,0.872262,1,0.00026749,4.35027,
158.365,127.341,13.3248,13.3247,-0.0335693,0.872478,1,0.000788498,4.54998,
162.648,127.341,12.6329,12.6325,-0.105286,0.824018,1,7.47777e-05,4.3837,
166.932,127.341,12.7885,12.7849,-0.302124,0.851267,1,-0.000127949,4.53238,
171.216,127.341,13.7483,13.7471,-0.18158,0.88778,1,0.0016067,4.66207,
175.499,127.341,13.6975,13.6964,-0.172424,0.902824,1,0.00110646,4.95957,
179.783,127.341,12.8437,12.8409,-0.267029,0.864808,1,-0.000604671,4.89005,
184.067,127.341,13.4686,13.4682,-0.0946045,0.834859,1,0.0014507,3.58479,
188.35,127.341,13.1975,13.197,0.114441,0.894007,1,0.000124942,4.12547,
192.634,127.341,12.2784,12.2775,-0.149536,0.876054,1,-0.00146031,4.48288,
196.918,127.341,12.3223,12.3218,-0.102234,0.785843,1,0.000245285,4.06932,
201.201,127.341,13.1954,13.1954,-0.0335693,0.783369,1,0.000387941,4.51878,
205.485,127.341,13.5595,13.5582,-0.186157,0.89013,1,-0.000790346,4.65649,
209.769,127.341,13.7993,13.7981,-0.186157,0.89385,1,0.000949811,3.40777,
214.052,127.341,12.767,12.7654,-0.205994,0.847088,1,0.00216696,4.01603,
218.336,127.341,12.5315,12.5282,-0.285339,0.851468,1,0.00132669,4.49363,
222.619,127.341,13.1688,13.168,-0.14801,0.856732,1,0.00211659,4.03136,
226.903,127.341,13.7484,13.7482,-0.0823975,0.824497,1,0.00247162,3.35499,
231.187,127.341,12.5963,12.5962,0.0488281,0.809731,1,-0.00197232,3.30573,
235.47,127.341,12.0597,12.0597,-0.00762939,0.834889,1,-0.00318968,3.09455,
239.754,127.341,12.8018,12.8009,-0.152588,0.819967,1,-0.00132263,2.84669,
244.038,127.341,12.448,12.448,-0.0152588,0.820334,1,0,3.49321,
4.15383,123.057,12.6156,12.5963,-0.698853,0.791098,1,-0.00056748,3.69212,
8.43747,123.057,13.1159,13.1072,-0.476074,0.769729,1,0.000952849,3.53234,
12.7211,123.057,14.5243,14.5152,-0.512695,0.784187,1,0.00394981,3.44317,
17.0048,123.057,14.1215,14.1158,-0.401306,0.832761,1,0.0027309,3.27881,
21.2884,123.057,13.4725,13.4711,-0.195312,0.83081,1,-0.000147073,3.03289,
25.572,123.057,13.0766,13.0765,-0.0564575,0.836142,1,-0.000561282,2.94323,
29.8557,123.057,12.8864,12.8857,-0.138855,0.844751,1,-0.000444352,3.96238,
34.1393,123.057,13.3396,13.3356,-0.32959,0.812906,1,0.000113899,3.88888,
38.423,123.057,13.6788,13.668,-0.543213,0.837645,1,0.000670338,3.7515,
42.7066,123.057,13.824,13.8143,-0.518799,0.857832,1,0.000654899,4.35287,
46.9902,123.057,14.1636,14.1603,-0.302124,0.858058,1,0.0012386,3.66339,
51.2739,123.057,14.8222,14.8169,-0.396729,0.861125,1,0.00205916,4.42655,
55.5575,123.057,14.2144,14.2058,-0.495911,0.860473,1,0.00134837,3.84092,
59.8411,123.057,13.3239,13.3227,-0.175476,0.818224,1,0.000649272,4.72074,
64.1248,123.057,13.2722,13.2712,-0.161743,0.813939,1,0.000345429,4.6931,
68.4084,123.057,13.3928,13.3907,-0.238037,0.870791,1,-0.000178165,3.9627,
72.6921,123.057,13.2477,13.2458,-0.221252,0.908388,1,0.000480997,4.74052,
76.9757,123.057,13.1524,13.1464,-0.398254,0.886212,1,0.000928278,5.03388,
81.2593,123.057,12.9857,12.9856,-0.0442505,0.886049,1,-0.000291757,4.00529,
85.543,123.057,13.4805,13.4792,-0.187683,0.870652,1,0.000556281,3.74864,
89.8266,123.057,14.4059,14.3942,-0.58136,0.842453,1,0.00199089,4.45338,
94.1103,123.057,14.4668,14.465,-0.230408,0.831622,1,0.00193698,4.90691,
98.3939,123.057,14.2497,14.2488,-0.154114,0.885715,1,0.00297003,3.89286,
102.678,123.057,13.5897,13.5881,-0.213623,0.890383,1,0.00221828,4.38074,
106.961,123.057,13.0803,13.0763,-0.32196,0.830272,1,-0.000244086,4.71078,
111.245,123.057,12.936,12.9325,-0.299072,0.866977,1,-6.58236e-05,4.69129,
115.528,123.057,13.4233,13.4229,-0.102234,0.867186,1,0.000231459,4.68296,
119.812,123.057,13.5681,13.568,0.0717163,0.816961,1,0.000896043,4.35908,
124.096,123.057,14.3374,14.3369,-0.12207,0.838681,1,0.00169422,4.34424,
128.379,123.057,13.7784,13.7761,-0.248718,0.915273,1,-0.000824165,4.48627,
132.663,123.057,13.0928,13.0912,-0.19989,0.922337,1,-0.00109004,4.20477,
136.947,123.057,13.0799,13.0782,-0.212097,0.90679,1,0.000227863,4.81798,
141.23,123.057,13.2943,13.2893,-0.366211,0.900204,1,0.000872543,4.46267,
145.514,123.057,13.3801,13.3749,-0.372314,0.911209,1,-0.000110372,3.78622,
149.798,123.057,13.5817,13.5817,0.00152588,0.919087,1,0.000712158,4.60687,
154.081,123.057,13.7411,13.7411,-0.0152588,0.867338,1,0.00208037,4.79044,
158.365,123.057,12.9865,12.9865,0.00152588,0.878308,1,-0.000616801,4.6438,
162.648,123.057,12.6012,12.6004,-0.141907,0.825628,1,-0.00158425,4.55849,
166.932,123.057,12.846,12.8402,-0.386047,0.837926,1,-0.00185135,4.32088,
171.216,123.057,13.063,13.0585,-0.341797,0.887989,1,-0.000594644,4.67671,
175.499,123.057,13.2287,13.2239,-0.357056,0.899413,1,0.00155709,3.9702,
179.783,123.057,13.1016,13.0997,-0.227356,0.884479,1,0.000541759,3.87876,
184.067,123.057,12.8494,12.8479,-0.198364,0.818811,1,0.00113197,4.23124,
188.35,123.057,13.1471,13.1445,-0.263977,0.798743,1,0.00126882,4.16675,
192.634,123.057,12.9055,12.9035,-0.228882,0.83253,1,0.000488792,4.936,
196.918,123.057,12.2172,12.2167,-0.109863,0.782966,1,-0.00034487,3.69989,
201.201,123.057,13.0301,13.03,0.0167847,0.703356,1,-0.000316387,3.41958,
205.485,123.057,13.9,13.8984,-0.212097,0.721036,1,0.00258557,3.4298,
209.769,123.057,13.3986,13.3933,-0.376892,0.800028,1,0.003643,3.36963,
214.052,123.057,11.8393,11.8385,-0.134277,0.828461,1,-0.000893835,2.9811,
218.336,123.057,11.961,11.9598,-0.167847,0.84372,1,-0.000313246,2.7666,
