case_id,shape,re,sample_idx,seed,dy,eps,status,attempts,error,elapsed_s,output_csv,metadata_json
circle_Re300_p00,circle,300,0,1575489071,0.020152757697184977,0.04466294665072863,success,1,,0.0397,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p00/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p00/metadata.json
circle_Re300_p01,circle,300,1,681148035,-0.036414777896108974,-0.014895957986244818,success,1,,0.0408,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p01/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p01/metadata.json
circle_Re300_p02,circle,300,2,591753163,-0.039774266976086825,-0.0020605711842958453,success,1,,0.0404,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p02/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p02/metadata.json
circle_Re300_p03,circle,300,3,2058666576,0.000890837495443518,0.011683284105788512,success,1,,0.0409,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p03/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p03/metadata.json
circle_Re300_p04,circle,300,4,2146788206,0.03791723409640386,0.008143627885261845,success,1,,0.0417,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p04/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p04/metadata.json
circle_Re300_p05,circle,300,5,881901726,-0.014887881219154818,0.008939048281959183,success,1,,0.0413,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p05/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p05/metadata.json
circle_Re300_p06,circle,300,6,1211785915,-0.022501690954900424,-0.036789704931575,success,1,,0.0458,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p06/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p06/metadata.json
circle_Re300_p07,circle,300,7,628987395,0.024343280828978762,-0.028645083950914804,success,1,,0.0424,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p07/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p07/metadata.json
circle_Re300_p08,circle,300,8,367474294,0.006351418845419128,-0.010875090787882203,success,1,,0.0412,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p08/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p08/metadata.json
circle_Re300_p09,circle,300,9,2013220355,-0.0035088001765776894,-0.020050421189924623,success,1,,0.0425,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p09/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p09/metadata.json
circle_Re300_p10,circle,300,10,754644282,-0.007815539706846064,0.023779208961161383,success,1,,0.0409,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p10/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p10/metadata.json
circle_Re300_p11,circle,300,11,130185621,-0.02134875809741936,0.015689654388919845,success,1,,0.0402,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p11/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p11/metadata.json
circle_Re300_p12,circle,300,12,728676070,0.015191498758573146,-0.041726000891881186,success,1,,0.0397,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p12/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p12/metadata.json
circle_Re300_p13,circle,300,13,221451805,-0.027288234226322265,7.889401102514904e-05,success,1,,0.0522,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p13/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p13/metadata.json
circle_Re300_p14,circle,300,14,655151020,0.014299544100464738,-0.03381639005158055,success,1,,0.041,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p14/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p14/metadata.json
circle_Re300_p15,circle,300,15,473709476,0.0026950418737159004,-0.025823830207596557,success,1,,0.0438,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p15/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p15/metadata.json
circle_Re300_p16,circle,300,16,1608402585,0.008768951320463965,0.021760867320807255,success,1,,0.0433,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p16/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p16/metadata.json
circle_Re300_p17,circle,300,17,1872644460,-0.03318708345832715,0.014126693759179071,success,1,,0.0399,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p17/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p17/metadata.json
circle_Re300_p18,circle,300,18,979807987,-0.02012963755665526,-0.010950596594463576,success,1,,0.0412,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p18/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p18/metadata.json
circle_Re300_p19,circle,300,19,534673432,-0.021038728897268086,-0.03561241843511766,success,1,,0.0482,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p19/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/circle_Re300_p19/metadata.json
square_Re100_p00,square,100,0,60163378,-0.01823815212595861,0.03580613987784521,success,1,,0.0525,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p00/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p00/metadata.json
square_Re100_p01,square,100,1,221503788,0.020412796405833634,0.03148878423927661,success,1,,0.0547,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p01/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p01/metadata.json
square_Re100_p02,square,100,2,836362525,0.013446493213404666,-0.030556484037222966,success,1,,0.052,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p02/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p02/metadata.json
square_Re100_p03,square,100,3,1897496864,0.01856015439070867,0.003962656529793179,success,1,,0.0463,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p03/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p03/metadata.json
square_Re100_p04,square,100,4,1763948351,0.012033934242452624,-0.03014531659943336,success,1,,0.0472,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p04/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p04/metadata.json
square_Re100_p05,square,100,5,624188631,-0.03648386819804549,-0.007943212819290524,success,1,,0.0549,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p05/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p05/metadata.json
square_Re100_p06,square,100,6,488771033,-0.02581699147204799,0.02251144068037756,success,1,,0.0515,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p06/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p06/metadata.json
square_Re100_p07,square,100,7,1269173350,-0.021504111070278328,-0.0433250478319937,success,1,,0.0642,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p07/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p07/metadata.json
square_Re100_p08,square,100,8,874316076,0.010495135596799196,0.03195313334752105,success,1,,0.0432,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p08/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p08/metadata.json
square_Re100_p09,square,100,9,1327776672,0.0002598675635033104,0.0024938614428076378,success,1,,0.0553,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p09/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p09/metadata.json
square_Re100_p10,square,100,10,1013539950,0.01790406393092015,-0.015208967859421897,success,1,,0.0495,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p10/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p10/metadata.json
square_Re100_p11,square,100,11,255931086,-0.01929779077912481,0.005461279687289245,success,1,,0.0579,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p11/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p11/metadata.json
square_Re100_p12,square,100,12,1060870925,0.02541008052977902,0.03823902579119593,success,1,,0.0534,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p12/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p12/metadata.json
square_Re100_p13,square,100,13,2070722630,0.0268420794618777,0.006684192900812369,success,1,,0.0471,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p13/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p13/metadata.json
square_Re100_p14,square,100,14,446679278,-0.03000090213362972,-0.019505841118021058,success,1,,0.0597,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p14/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p14/metadata.json
square_Re100_p15,square,100,15,1945868713,-0.039547495235037804,-0.01679360834968347,success,1,,0.0513,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p15/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p15/metadata.json
square_Re100_p16,square,100,16,534129996,0.022347362217843413,-0.04524800952799854,success,1,,0.0502,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p16/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p16/metadata.json
square_Re100_p17,square,100,17,1646388312,0.014321064293551143,0.0008084591997813751,success,1,,0.0488,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p17/probes.csv,/Users/chenyihao/Desktop/大三下/课程/流体力学实验/fluid-shape-pipeline/data/raw/square_Re100_p17/metadata.json
